Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-12-14,206.95481872558594,208.77496966760688,204.9829933598863,205.32969222133534,10563900
2015-12-15,211.4618377685547,211.90604159922327,206.6406134175519,207.36651277418173,15718833
2015-12-16,212.0576934814453,213.98618301690462,210.94177431210736,211.46181529637425,12097338
2015-12-17,218.7857666015625,219.93420211322479,211.91689362975404,212.36109749845372,19369032
2015-12-18,214.9287872314453,218.63407790552466,214.5170850533323,217.50732470766613,16016139
2015-12-21,214.9721221923828,216.46724201546115,213.2928262873884,214.0620467410362,12331769
2015-12-22,213.93203735351562,217.2472935723345,213.21697188041995,215.1237938560502,11579277
2015-12-23,217.50732421875,218.17903968818098,214.51708457113767,214.90711897397162,12919467
2015-12-24,216.8031005859375,218.24405102678202,215.88220567761783,217.5289999823818,11901877
2015-12-28,218.93743896484375,219.66332386434127,216.6839181277839,216.81392477286366,12885935
2015-12-29,220.02084350585938,220.7358944757029,218.2331943845487,218.93742593241504,14913870
2015-12-30,217.65899658203125,220.15086293148974,217.1172877638419,219.9341851900015,8151610
2015-12-31,219.84751892089844,220.9526188928689,216.48892684629652,217.42067014539538,18483713
2016-01-01,220.00999450683594,220.77921485606683,218.46070545820635,218.8073898006352,5416562
2016-01-04,215.66549682617188,219.67415063535964,213.80201044918542,217.76732871141704,30170947
2016-01-05,217.79983520507812,218.85075117102275,216.03386823402062,216.74891923913347,14946239
2016-01-06,223.6611328125,225.00457813836778,216.77057846279516,218.33070151970546,26759864
2016-01-07,219.55499267578125,222.75107626597082,218.42823945006,221.2451225143631,19739943
2016-01-08,222.26351928710938,223.81280846606384,220.30252795242174,221.0175933977657,21313199
2016-01-11,227.86480712890625,229.85830020526586,219.0674449426684,220.1400286902471,29016443
2016-01-12,226.5322265625,230.8550635282874,225.5896493910729,228.60155699871387,23373377
2016-01-13,233.33607482910156,236.13130442423247,226.9113918866168,228.18983392878874,71802356
2016-01-14,230.04248046875,234.23532501627102,228.17900846765409,230.51918597239523,27823189
2016-01-15,232.5668487548828,236.07712947998945,230.89838672268309,231.79762829460677,28767318
2016-01-18,220.3350372314453,234.87453303742072,218.43906361533644,232.93520940889573,27254669
2016-01-19,226.13134765625,227.47477861500693,219.73916608917565,222.9677657669591,21489315
2016-01-20,217.66983032226562,224.24618781009107,214.51708239892608,224.24618781009107,45114225
2016-01-21,213.26031494140625,222.26353574318838,211.63518843584404,220.48673481382508,31768619
2016-01-22,217.58314514160156,219.06743096712333,215.39464223783318,215.39464223783318,23682648
2016-01-25,217.53982543945312,220.74674282410305,216.68391942528197,218.8507547141282,13099564
2016-01-27,216.54307556152344,218.8507513478874,216.0230345216206,218.43906364233527,17251028
2016-01-28,220.34588623046875,221.40765062140753,216.0555509736724,216.90062314554362,23074633
2016-01-29,224.35455322265625,225.3512998796857,220.5842588259846,220.7901027046116,19177163
2016-02-01,223.2494659423828,225.74133256553765,222.2202176283278,225.34046423528596,9918809
2016-02-02,216.93313598632812,223.79117531082235,214.6254454586069,223.24946643194602,14771279
2016-02-03,212.65357971191406,215.3838058309592,211.266813344381,214.0836960888709,15691478
2016-02-04,210.8442840576172,216.900600232485,209.2516593361559,214.0837029334668,18203784
2016-02-05,210.37840270996094,212.7835832782142,208.3199064963576,212.15520342094385,20998404
2016-02-08,208.2440643310547,213.39030474242156,207.5723344809939,210.4217332396723,12078110
2016-02-09,207.47483825683594,209.9233688787795,205.84971192121705,206.4780917900082,19603494
2016-02-10,208.59078979492188,210.83347692503344,205.55721437924555,206.21811047375775,16883350
2016-02-11,200.3351287841797,209.30584806431622,198.3741372735685,208.6341181051593,17114833
2016-02-12,196.434814453125,202.36112456290016,192.43699420019152,202.36112456290016,29319458
2016-02-15,205.14549255371094,206.14223907966806,198.9158339987131,198.9158339987131,19283523
2016-02-16,201.63522338867188,207.583186330241,200.86598849962294,206.08806656366005,13024856
2016-02-17,206.41311645507812,207.46403249578233,198.56915029245238,202.6211400267671,15442221
2016-02-18,203.70455932617188,209.90171630139076,202.81615165784507,208.65577589542633,14433087
2016-02-19,204.6254425048828,206.4455932858489,203.10865500890037,203.68287991952667,10235503
2016-02-22,208.5149383544922,209.81504821443392,204.57128769025144,204.57128769025144,12770834
2016-02-23,205.77389526367188,209.576690979438,204.27877541414327,208.6882832867176,18989787
2016-02-24,206.4239501953125,207.70237787785638,204.11625978383063,204.74465420182977,15186204
2016-02-25,204.57127380371094,207.2689983254598,203.867056717672,206.75979119616358,24826958
2016-02-26,205.9255828857422,207.74573393730006,204.61463903736183,206.49979341726532,8349402
2016-02-29,209.45751953125,215.5138361788657,202.59946628479443,206.13141483861767,31032353
2016-03-01,212.63192749023438,213.44449794652522,209.0241418575042,209.0349757445356,16453192
2016-03-02,217.00894165039062,217.92985094991764,213.92119715042463,215.1454552779109,20105967
2016-03-03,219.46832275390625,220.5842420981475,216.14221803176756,218.85076223591665,15880459
